visit_id,product_ids
3705073560174199024,463480240 463480227 489753829 463480226 463480255 489734604
3705189088312688779,495399934 495399696 495252594 495400618 495276925 495264589
3705549051029618879,495261546 495256593 495276951 463480553 495276925 463480695
3705579516103753793,495399966 463480539 495399696 463480256 463480697 463480227
3705717843210797336,463480322 463480497 463480242 463480553 463480493 463480221
3706041499269726516,463480697 463480227 489753829 463480226 463480255 489734604
3706260855703732415,495256593 495276951 463480553 495276925 463480695 495259981
3706380385759789156,495263729 495252594 495264774 463480429 463480466 495401995
3706985600653983919,463480553 495276951 495276925 463480695 495259981 495264774
3707029649495949469,495276869 495276951 495276925 495276891 463480392 463480389
3707060925339795466,463480236 463480697 463480487 463480464 463480677 495399719
3708076812743737360,463480213 495399700 495403408 495401146 495264774 495263729
3708267656825012292,495276925 495276951 463480695 495259981 495264774 495261776
3708424884763230247,463480240 463480226 463480227 463480465 463480467 463480487
3708703155715834073,495264005 463480693 463480362 495250885 463480322 463480553
3709195097960349750,495403699 495403354 495403326 495366610 463480589 463480505
3709363306337140865,463480491 463480235 463480691 463480213 463480240 463480655
3709407793047404681,463480539 463480227 489753829 463480226 463480255 489734604
3709515012169269401,495399696 463480227 489753829 463480226 463480255 489734604
3710538737391239261,463480242 463480497 463480322 463480553 463480493 463480221
3711778140304441359,463480487 463480697 463480256 463480464 463480255 463480466
3711954729942909236,463480425 495401665 463480374 463480356 463480358 463480355
3712258386522800270,463480240 463480227 489753829 463480226 463480255 489734604
3714174656325353788,463480487 463480539 463480256 463480464 463480227 463480468
3719175338149281873,495403982 463480452 463480213 463480214 463480691 463480235
3720314531795959937,495401997 495402268 495402258 495402010 495402176 495402179
3720326088774910090,463480483 463480346 495403982 495403990 463480350 495404000
3720361570001748265,495400385 463480466 495399912 495399934 495400631 489734604
3720379898737459447,495402179 495402268 495402254 495401997 495402010 495402014
3720565115918745791,495264774 495259981 463480693 495261776 495402179 495276925
3721162354487984189,463480697 463480227 489753829 463480226 463480255 489734604
3721169675013325133,463480213 463480214 463480691 463480235 463480457 463480359
3721230196723155083,495399696 495252594 495400618 495276925 495264589 463480693
3721460522081058857,463480471 463480227 489753829 463480226 463480255 489734604
3721504230164136043,495402258 495402010 495402268 495401997 495403354 495402254
3721883809630126420,463480213 463480214 463480691 495404000 463480235 463480457
3722096681560834296,495264589 463480693 495261546 495403699 463480457 463480417
3722120944459710732,495402010 495402268 495402254 495401997 495402176 489734604
3722619790819328253,463480474 463480493 463480486 463480226 463480471 463480240
3722634811009138923,495400939 463480493 463480226 463480346 463480213 463480210
3722673228718538922,495404000 463480227 463480493 463480226 463480346 463480213
3722836413996859567,463480693 495402179 495276925 495400635 463480694 495399820
3723357882082132018,463480429 495264774 463480466 495401995 495264589 463480493
3723365401948848475,463480322 495254138 495252594 495259045 495256593 463480497
3723861164225462491,463480471 463480227 489753829 463480226 463480255 489734604
3723895179220615380,495261776 495258252 463480497 463480322 463480242 463480553
3724115511574266040,495261546 463480555 495263416 463480641 495251312 495255340
3724307379496157432,495261546 495403699 463480457 463480417 495402179 463480466
3724566715767455907,463480256 463480227 489753829 463480226 463480255 489734604
3724611958242541753,463480491 463480235 495276976 463480213 463480214 463480691
3724678270576492659,495276951 495276925 463480429.0 463480493.0 463480693.0 495400618.0
3725442077350166749,463480242 463480497 463480322 463480553 463480493 463480221
3725527693373473024,495493945 463480359 463480355 463480356 463480358 495400939
3725638397642670412,1231113729 463480429 463480359 463480355 463480227 463480224
3725665815122673812,463480677 463480255 463480256 463480227 463480464 463480539
3726314183772602604,463480466 495401995 495264589 463480493 463480697 463480543
3726496306115641591,463480470 495277192 495277184 495277303 489734604 495277293
3726627089806786816,463480227 489753829 463480226 463480255 489734604 463480464
3726639191015817528,495252594 495261546 495259981 463480399 495255645 463480504
3726787579855241512,463480677 463480227 489753829 463480226 463480255 489734604
3726819316846559551,495252594 495400618 495402179 495263729 495400385 495402010
3727137352289615930,463480221 463480273 463480497 463480322 463480242 463480553
3727209846629466441,463480694 463480497 463480322 463480242 463480553 463480493
3727426286505427122,463480255 463480227 489753829 463480226 489734604 463480464
3727643416705106128,495399700 495403408 495401146 495264774 495263729 495402176
3727824452853170241,463480483 463480466 463480497 463480322 463480242 463480553
3727917845114781944,463480417 495402179 463480466 489753829 495400618 463480457
3728083333358551145,463480355 463480359 463480356 463480358 495400939 495401665
3728643304536932450,463480497 463480322 463480242 463480553 463480493 463480221
3728745786159661304,489753829 463480466 495400618 463480457 495400385 463480493
3728753264132096341,495264589 463480221 463480429.0 463480493.0 463480693.0 495400618.0
3728776597389181063,495402179 495400385 495263729 495400618 495402010 495277202
3729381125287837911,463480242 463480497 463480322 463480553 463480493 463480221
3730399936349995238,463480641 463480497 463480322 463480242 463480553 463480493
3730481566108877026,489734604 489753829 463480466 463480471 463480465 463480256
3730552932350034148,463480381 495265942 495267299 495265949 495265868 495277184
3731632972334367050,463480493 463480227 489753829 463480226 463480255 489734604
3731724410389004464,463480256 463480255 463480227 489753829 463480226 489734604
3731926405380833479,495401665 463480355 463480356 463480358 495401146 463480484
3732201646623818004,463480467 463480227 489753829 463480226 463480255 489734604
3733143508616478791,495251097 495263729 463480679 463480553 463480563 495251312
3733143882767270014,495258252 495251312 463480553 463480693 463480694 463480242
3733285273453723794,463480493 463480497 463480322 463480242 463480553 463480221
3733444364139495621,463480358 463480497 463480355 463480679 463480322 463480689
3733599259238334741,463480471 463480227 489753829 463480226 463480255 489734604
3733968034946613364,495254783 463480221 463480543 463480273 495260496 463480493
3734862133246558495,463480255 463480464 463480467 463480256 463480697 463480539
3734869173678899380,463480475 463480240 463480227 463480465 463480226 463480467
3734948587591696385,495256039 463480553 463480563 463480696 495259981 463480497
3739506510061895881,463480256 463480227 489753829 463480226 463480255 489734604
3739513404131115091,495251312 495256039 463480322 463480694 495252594 463480497
3742942784109412645,463480694 463480322 463480497 463480242 463480553 463480493
3743056462508982340,463480694 495400635 495399820 463480497 495256593 463480225
3743794872220647435,495255340 495251097 495263729 463480693 495261776 495400635
3744070109694001253,463480683 463480699 463480589 463480374 463480356 463480379
3744363522412511298,463480356 463480355 495401146 463480358 463480589 495403408
3744450350583906369,463480322 463480242 463480679 463480497 463480694 495251312
3744487348713029799,463480487 495400314 495400618 489753829 495399912 1228501633
3744541331422445808,463480223 463480429 463480225 463480224 495277614 463480481
3744844045583646973,463480242 463480322 463480553 463480342 495250885 463480693
3744869529299189828,495399820 463480497 495400635 495256593 463480225 495403210
3744914499542974622,463480242 495253660 463480553 463480322 463480342 463480641
3745121599661277259,463480699 463480683 463480589 463480374 463480356 463480379
3745504015921971211,495400635 495251659 495402022 1228501633 495400618 463480362
3745590903832051938,463480273 463480497 463480322 463480242 463480553 463480493
3745643540346306660,463480543 463480697 495259981 463480693 463480694 463480677
3745880331012538532,463480221 463480273 495403354 463480683 495403326 463480356
3746610939533459490,495255340 495250885 463480242 463480493 463480226 463480346
3747026796363907177,495400618 463480539 463480694 489753829 495400314 495400385
3747094926140899616,463480242 463480322 463480641 463480679 463480497 463480362
3747322526039539998,463480227 495399912 495400576 495399934 489734604 489753829
3747409945402540105,495402010 495277202 495277293 495400385 495399934 495259981
3747468463312732171,495251659 1228501633 495400618 463480362 495400385 495400631
3748073556561887441,489734604 463480255 463480482 495400385 463480240 495399719
3748931788470747229,495400314 495400635 463480486 463480658 463480226 463480477
3748932652424495154,463480694 463480697 463480693 463480677 1228501633 495399934
3748946511213363257,495399820 463480240 463480472 463480465 463480476 463480227
3749286301554704580,495400635 495256593 463480225 495403210 495403168 463480474
3749556011253104773,463480420 495370340 463480417 495507390 495369801 463480425
3750506941369811270,463480553 463480356 463480359 463480355 463480358 495400939
3750516292963795192,1228501633 495400618 463480362 495400385 495400631 463480691
3751094127653552267,495400385 463480362 495400631 463480691 495400618 1228501633
3751946969896976395,495400618 463480691 1228501633 495400635 463480355 495493336
3752085425544233260,463480691 463480235 463480213 463480214 463480457 463480665
3752726379908563087,463480346 463480483 463480359 495404000 495403990 463480350
3753040979759988798,463480474 463480677 1228501633 463480493 463480227 463480471
3755300921938804762,463480497 463480322 463480342 463480679 463480641 463480553
3755395886152679644,463480231 495260496 463480359 463480355 463480356 463480358
3755744592000712910,463480429 463480225 495277614 463480224 463480223 463480227
3763128515461644635,463480429 463480224 463480481 463480225 463480227 463480223
3764710381751107737,495400431 463480227 495400631 463480317 495400618 1228501633
3766563328028311748,495256593 463480225 495403210 495403168 463480474 463480342
3766641967662891163,495277303 463480255 463480227 489753829 463480226 489734604
3766645657231163468,495493336 495400631 495400618 1228501633 495401146 463480694
3766783086073217061,495400939 495401146 463480683 495401665 489734604 495401664
3767103082932469973,463480466 463480697 489753829 463480227 463480539 463480464
3767155785343172893,463480694 463480497 463480322 463480242 463480553 463480493
3767335571292684407,463480256 463480227 489753829 463480226 463480255 489734604
3767498470828015940,463480227 463480468 463480471 463480677 463480465 463480464
3767693983042240725,495277184 495277303 495277192 495277293 495369801 463480322
3767713477572427834,463480227 463480256 463480464 463480697 463480539 463480237
3767860074734682383,463480677 1228501633 495399934 495400618 463480697 495259981
3768299774009147680,495403143 463480381 463480447 463480446 495403168 495401146
3768302563275833392,495256039 495259981 463480563 463480679 463480273 463480497
3768412740409360408,463480226 463480429.0 463480493.0 463480693.0 495400618.0 463480497.0
3768578726874579118,495401146 463480694 495277184 495400631 495255157 495264479
3768748803157917967,495399934 495400618 463480697 495259981 495401146 495403210
3768838460967223448,463480466 495400314 495400618 489753829 495399912 1228501633
3768937106783862799,463480227 463480240 463480465 463480226 463480467 463480487
3769190157186236470,463480655 495403165 463480379 463480235 463480213 463480665
3769289670818005309,495252594 463480497 463480322 463480242 463480553 463480493
3769482844296708360,463480322 463480683 463480699 463480589 463480374 463480356
3770084950812918068,463480493 463480212 463480543 495260496 463480221 463480226
3770567111889387556,495259981 495403168 495401146 463480693 495402176 495277614
3771480091006337154,495493336 495528509 495493945 463480259 495370340 495402322
3771819190731407537,463480493 463480226 463480483 463480473 463480475 463480346
